epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9332,1.23187,1.56406,1.20411,0.67333,0.54645,0.59509,0.33578,1.46992,1.78258,1.50759,0.000663043,0.000663043,0.000663043
2,88.7462,1.39888,1.43824,1.30774,0.56971,0.46367,0.50028,0.25981,1.60714,1.95374,1.58129,0.00130338,0.00130338,0.00130338
3,134.428,1.4613,1.45563,1.36348,0.61134,0.50109,0.53589,0.27413,1.67771,1.76164,1.63033,0.00191732,0.00191732,0.00191732
4,179.614,1.46634,1.40929,1.36393,0.65343,0.54863,0.59187,0.32823,1.54542,1.47306,1.49086,0.0018812,0.0018812,0.0018812
5,226.573,1.45624,1.35657,1.34876,0.74996,0.59485,0.68186,0.39706,1.4238,1.31081,1.39193,0.0018416,0.0018416,0.0018416
6,273.26,1.42061,1.30297,1.31696,0.76807,0.62246,0.70202,0.40646,1.44267,1.21763,1.42686,0.001802,0.001802,0.001802
7,319.152,1.37796,1.26797,1.31352,0.7631,0.59143,0.68937,0.3996,1.42862,1.21608,1.38907,0.0017624,0.0017624,0.0017624
8,365.747,1.3641,1.19273,1.29214,0.77874,0.64065,0.72358,0.42799,1.38403,1.14244,1.35363,0.0017228,0.0017228,0.0017228
9,412.99,1.31675,1.15759,1.27344,0.74137,0.62625,0.69814,0.41013,1.39808,1.21587,1.38966,0.0016832,0.0016832,0.0016832
10,459.235,1.33896,1.15639,1.27223,0.75753,0.6232,0.7056,0.43131,1.35941,1.13552,1.33898,0.0016436,0.0016436,0.0016436
11,505.164,1.28541,1.10064,1.24917,0.80645,0.63598,0.7361,0.44292,1.34648,1.07079,1.32805,0.001604,0.001604,0.001604
12,551.237,1.26669,1.08121,1.243,0.77725,0.6498,0.7315,0.44041,1.34494,1.04944,1.34722,0.0015644,0.0015644,0.0015644
13,598.025,1.262,1.06481,1.25244,0.77903,0.63367,0.73226,0.44335,1.32126,1.06001,1.30545,0.0015248,0.0015248,0.0015248
14,649.996,1.25723,1.04234,1.23931,0.79564,0.6437,0.7298,0.43519,1.30237,1.08166,1.29998,0.0014852,0.0014852,0.0014852
15,711.128,1.22841,1.01318,1.2176,0.82266,0.65547,0.74813,0.45074,1.29379,1.01987,1.28523,0.0014456,0.0014456,0.0014456
16,767.806,1.19971,1.0135,1.21789,0.76964,0.67859,0.75361,0.47221,1.25488,0.98115,1.2755,0.001406,0.001406,0.001406
17,820.869,1.20518,0.99743,1.21767,0.76707,0.66925,0.74501,0.44773,1.314,1.0523,1.29377,0.0013664,0.0013664,0.0013664
18,875.682,1.21371,0.99203,1.21437,0.80154,0.67107,0.76006,0.46384,1.28017,0.9846,1.28629,0.0013268,0.0013268,0.0013268
19,929.759,1.19258,0.98221,1.20954,0.79191,0.66943,0.75249,0.46713,1.27687,0.99463,1.28146,0.0012872,0.0012872,0.0012872
20,984.718,1.17181,0.9744,1.18947,0.79735,0.67902,0.76291,0.47941,1.22713,0.98035,1.24638,0.0012476,0.0012476,0.0012476
21,1052.51,1.17401,0.94465,1.18621,0.8173,0.6703,0.77032,0.49097,1.23806,0.92794,1.24739,0.001208,0.001208,0.001208
22,1125.4,1.16204,0.93998,1.19134,0.82776,0.68426,0.78287,0.49495,1.21117,0.91085,1.23986,0.0011684,0.0011684,0.0011684
23,1193.02,1.1466,0.91078,1.17633,0.80326,0.69952,0.78697,0.49026,1.23074,0.92088,1.24505,0.0011288,0.0011288,0.0011288
24,1249.49,1.12244,0.89702,1.16748,0.82452,0.69254,0.77756,0.4986,1.20297,0.90798,1.23382,0.0010892,0.0010892,0.0010892
25,1304.16,1.12812,0.87524,1.15709,0.84701,0.66638,0.77886,0.49758,1.22523,0.90507,1.24315,0.0010496,0.0010496,0.0010496
26,1361.39,1.08633,0.85955,1.15292,0.83226,0.68338,0.77399,0.4917,1.20084,0.89247,1.21146,0.00101,0.00101,0.00101
27,1419.57,1.12389,0.86645,1.15526,0.82301,0.69355,0.7886,0.50854,1.17001,0.86346,1.21356,0.0009704,0.0009704,0.0009704
28,1476.99,1.09833,0.85521,1.15402,0.84343,0.69071,0.78788,0.51569,1.17375,0.86412,1.22676,0.0009308,0.0009308,0.0009308
29,1530.97,1.08039,0.81387,1.13966,0.82666,0.68731,0.77924,0.51107,1.18148,0.8878,1.20164,0.0008912,0.0008912,0.0008912
30,1585.51,1.06449,0.81612,1.13191,0.83561,0.6969,0.79537,0.50876,1.20326,0.84768,1.23645,0.0008516,0.0008516,0.0008516
31,1640.3,1.06793,0.82138,1.1408,0.81905,0.71915,0.79016,0.51007,1.18479,0.84853,1.21974,0.000812,0.000812,0.000812
32,1694.3,1.04275,0.79826,1.12394,0.83495,0.71348,0.80162,0.51854,1.17359,0.84458,1.21777,0.0007724,0.0007724,0.0007724
33,1753.28,1.03478,0.78483,1.12338,0.84321,0.7017,0.80086,0.5191,1.17067,0.83571,1.21096,0.0007328,0.0007328,0.0007328
34,1808.69,1.04516,0.79626,1.12074,0.82308,0.73649,0.81157,0.52995,1.15253,0.81115,1.19447,0.0006932,0.0006932,0.0006932
35,1865.46,1.03517,0.76857,1.10942,0.85774,0.72438,0.81684,0.53386,1.15535,0.78838,1.18795,0.0006536,0.0006536,0.0006536
36,1920.11,1.00074,0.73817,1.10444,0.82477,0.72872,0.81205,0.53453,1.15233,0.79552,1.18089,0.000614,0.000614,0.000614
37,1974.39,1.0057,0.74254,1.10292,0.85903,0.70955,0.81095,0.53475,1.15466,0.80281,1.18472,0.0005744,0.0005744,0.0005744
38,2030.36,0.98312,0.71907,1.0967,0.87307,0.71391,0.81535,0.53671,1.14087,0.76987,1.19287,0.0005348,0.0005348,0.0005348
39,2082.86,0.9942,0.72617,1.09005,0.85319,0.71478,0.81232,0.53858,1.13436,0.80068,1.18016,0.0004952,0.0004952,0.0004952
40,2134.99,1.0036,0.7239,1.09579,0.85656,0.70835,0.81176,0.53822,1.12901,0.79321,1.18236,0.0004556,0.0004556,0.0004556
41,2214.66,0.93853,0.64121,1.04183,0.85578,0.71609,0.81121,0.52866,1.16908,0.80232,1.21591,0.000416,0.000416,0.000416
42,2262.05,0.90846,0.61367,1.02686,0.86178,0.7065,0.81185,0.53684,1.12512,0.7689,1.18487,0.0003764,0.0003764,0.0003764
43,2315.15,0.88511,0.59875,1.01879,0.84117,0.72961,0.81135,0.54061,1.13605,0.77012,1.19138,0.0003368,0.0003368,0.0003368
44,2364.09,0.87742,0.58788,1.01473,0.83156,0.72787,0.80776,0.5367,1.14445,0.78449,1.18796,0.0002972,0.0002972,0.0002972
45,2417.14,0.86967,0.56543,1.00543,0.85097,0.72217,0.81349,0.53743,1.127,0.77408,1.17732,0.0002576,0.0002576,0.0002576
46,2464.45,0.87592,0.57642,1.00309,0.86297,0.71682,0.81913,0.5485,1.11692,0.76039,1.16522,0.000218,0.000218,0.000218
47,2511.71,0.8427,0.55277,0.99382,0.8585,0.73048,0.8181,0.54712,1.1229,0.75853,1.17925,0.0001784,0.0001784,0.0001784
48,2558.89,0.84737,0.55574,1.00247,0.84719,0.73659,0.82127,0.55374,1.1132,0.74685,1.17247,0.0001388,0.0001388,0.0001388
49,2605.86,0.83641,0.53553,0.99084,0.85446,0.73703,0.82447,0.55477,1.10091,0.73653,1.16652,9.92e-05,9.92e-05,9.92e-05
50,2652.53,0.83727,0.53961,0.99498,0.8613,0.72176,0.8183,0.55052,1.10418,0.75029,1.16607,5.96e-05,5.96e-05,5.96e-05
